NAME,PARTIES
ABBADO Claudio,Misto
AIELLO Piero,Il Popolo della Libertà;Nuovo Centrodestra
AIROLA Alberto,Movimento 5 Stelle
ALBANO Donatella,Partito Democratico
ALBERTI CASELLATI Maria Elisabetta,Il Popolo della Libertà
ALBERTINI Gabriele,Scelta Civica per l'Italia;Nuovo Centrodestra
ALICATA Bruno,Il Popolo della Libertà
AMATI Silvana,Partito Democratico
AMIDEI Bartolomeo,Forza Italia-Il Popolo della Libertà XVII Legislatura;Misto
AMORUSO Francesco Maria,Il Popolo della Libertà;Alleanza Liberalpopolare-Autonomie
ANDREOTTI Giulio,"Per le Autonomie (SVP, UV, PATT, UPT) - PSI"
ANGIONI Ignazio,Partito Democratico
ANITORI Fabiola,Movimento 5 Stelle;Misto;Area Popolare (NCD-UDC)
ARACRI Francesco,"Il Popolo della Libertà;Federazione della Libertà (Idea-Popolo e Libertà, PLI)"
ARRIGONI Paolo,Lega Nord e Autonomie
ASTORRE Bruno,Partito Democratico
AUGELLO Andrea,"Il Popolo della Libertà;Nuovo Centrodestra;Grandi Autonomie e Libertà (Grande Sud, Popolari per l'Italia, Federazione dei Verdi, Moderati, Movimento Base Italia, Idea);Conservatori e Riformisti;Misto;Grandi Autonomie e Libertà (Grande Sud, Popolari per l'Italia, Moderati, Idea, Euro-Exit, M.P.L. - Movimento politico Libertas, Riscossa Italia);Federazione della Libertà (Idea-Popolo e Libertà, PLI)"
AURICCHIO Domenico,Forza Italia-Il Popolo della Libertà XVII Legislatura;Alleanza Liberalpopolare-Autonomie;Forza Italia-Il Popolo della Libertà XVII Legislatura
AZZOLLINI Antonio,Il Popolo della Libertà;Nuovo Centrodestra;Forza Italia-Il Popolo della Libertà XVII Legislatura
BARANI Lucio,Il Popolo della Libertà;Grandi Autonomie e Libertà;Alleanza Liberalpopolare-Autonomie
BAROZZINO Giovanni,Misto
BATTISTA Lorenzo,Movimento 5 Stelle;Misto;Per le Autonomie (SVP-UV-PATT-UPT)-PSI-MAIE;Articolo 1 - Movimento democratico e progressista
BELLOT Raffaela,Lega Nord e Autonomie;Misto;Noi con l'Italia
BENCINI Alessandra,Movimento 5 Stelle;Misto
BERGER Hans,"Per le Autonomie (SVP, UV, PATT, UPT) - PSI"
BERLUSCONI Silvio,Il Popolo della Libertà
BERNINI Anna Maria,Il Popolo della Libertà
